2017-11-12 17:54:40,672[ost-startStop-1]  [INFO ] [.e.c.c.d.JNDIDataSourceFactory 59]   - This=org.eclipse.che.core.db.h2.H2SQLJndiDataSourceFactory@28103f14 obj=ResourceRef[className=javax.sql.DataSource,factoryClassLocation=null,factoryClassName=org.apache.naming.factory.ResourceFactory,{type=scope,content=Shareable},{type=auth,content=Container},{type=singleton,content=true},{type=factory,content=org.eclipse.che.core.db.h2.H2SQLJndiDataSourceFactory}] name=che Context=org.apache.naming.NamingContext@78ff560f environment={}
2017-11-12 17:56:41,441[aceSharedPool-0]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 17:56:41,442[aceSharedPool-0]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 17:56:41,611[aceSharedPool-0]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.exec' agent at workspace workspace5rq729h30c9ntb64
2017-11-12 17:56:43,894[aceSharedPool-0]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.terminal' agent at workspace workspace5rq729h30c9ntb64
2017-11-12 17:56:50,204[aceSharedPool-0]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = null
2017-11-12 17:56:50,205[aceSharedPool-0]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = null
2017-11-12 17:56:50,205[aceSharedPool-0]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 17:56:50,205[aceSharedPool-0]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 17:56:50,206[aceSharedPool-0]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 17:56:50,304[aceSharedPool-0]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.exec' agent at workspace workspace5rq729h30c9ntb64
2017-11-12 17:56:52,584[aceSharedPool-0]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.terminal' agent at workspace workspace5rq729h30c9ntb64
2017-11-12 17:56:54,766[aceSharedPool-0]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.ws-agent' agent at workspace workspace5rq729h30c9ntb64
2017-11-12 17:57:06,867[aceSharedPool-0]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.ssh' agent at workspace workspace5rq729h30c9ntb64
2017-11-12 17:57:06,993[aceSharedPool-0]  [INFO ] [e.c.a.w.s.i.ServerIdleDetector 70]   - Idling che server canceled
2017-11-12 17:57:06,994[aceSharedPool-0]  [INFO ] [o.e.c.a.w.s.WorkspaceManager 658]    - Workspace 'che/EstaBienMapeado' with id 'workspace5rq729h30c9ntb64' started by user 'che'
2017-11-12 17:59:23,123[aceSharedPool-1]  [INFO ] [o.e.c.a.w.s.WorkspaceManager 700]    - Workspace 'che/EstaBienMapeado' with id 'workspace5rq729h30c9ntb64' is being stopped by user 'che'
2017-11-12 17:59:28,600[aceSharedPool-1]  [INFO ] [e.c.a.w.s.i.ServerIdleDetector 81]   - Idling che server scheduled [timeout=1800] seconds]
2017-11-12 17:59:28,606[aceSharedPool-1]  [INFO ] [o.e.c.a.w.s.WorkspaceManager 733]    - Workspace 'che/EstaBienMapeado' with id 'workspace5rq729h30c9ntb64' stopped by user 'che'
2017-11-12 18:00:01,365[aceSharedPool-2]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = null
2017-11-12 18:00:01,399[aceSharedPool-2]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = null
2017-11-12 18:00:01,400[aceSharedPool-2]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 18:00:01,401[aceSharedPool-2]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 18:00:01,402[aceSharedPool-2]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 18:00:01,470[aceSharedPool-2]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.exec' agent at workspace workspace5rq729h30c9ntb64
2017-11-12 18:00:03,703[aceSharedPool-2]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.terminal' agent at workspace workspace5rq729h30c9ntb64
2017-11-12 18:00:09,937[aceSharedPool-2]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = null
2017-11-12 18:00:09,940[aceSharedPool-2]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = null
2017-11-12 18:00:09,942[aceSharedPool-2]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 18:00:09,951[aceSharedPool-2]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 18:00:09,956[aceSharedPool-2]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 18:00:10,050[aceSharedPool-2]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.exec' agent at workspace workspace5rq729h30c9ntb64
2017-11-12 18:00:12,238[aceSharedPool-2]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.terminal' agent at workspace workspace5rq729h30c9ntb64
2017-11-12 18:00:14,548[aceSharedPool-2]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.ws-agent' agent at workspace workspace5rq729h30c9ntb64
2017-11-12 18:00:28,029[aceSharedPool-2]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.ssh' agent at workspace workspace5rq729h30c9ntb64
2017-11-12 18:00:28,093[aceSharedPool-2]  [INFO ] [e.c.a.w.s.i.ServerIdleDetector 70]   - Idling che server canceled
2017-11-12 18:00:28,096[aceSharedPool-2]  [INFO ] [o.e.c.a.w.s.WorkspaceManager 658]    - Workspace 'che/EstaBienMapeado' with id 'workspace5rq729h30c9ntb64' started by user 'che'
2017-11-12 18:08:52,929[nio-8080-exec-8]  [INFO ] [o.e.c.a.w.s.WorkspaceManager 807]    - Workspace 'che/MavenMySQL' with id 'workspacevhc4anpw9h0yssu8' created by user 'che'
2017-11-12 18:08:57,045[aceSharedPool-3]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = null
